Project ID,Proponent(s),Project Name,MPO Score,Investment Category,"MAPC 
Subregion",Initial TIP Year & TIP,"FFYs 2025–29
Programmed Year(s)","FFYs 2026–30
Programmed
Year(s)","Design Status / 
Date Last Update",Design Status (Shorthand),Last Update Date,Years Since Last PINFO Milestone,FFY 2025,FFY 2025 (New),FFY 2026,FFY 2026 (New),FFY 2027,FFY 2027 (New),FFY 2028,FFY 2028 (New),FFY 2029,"FFY 2029 
(New)","FFY 2030
(New)",Other Non-Target Funds,"FFYs 2026–30
Target Program Spending","Adjusted TFPC
 (FFYs 2025-29)","Adjusted TFPC
 (FFYs 2026-30)"
S12694,Revere,REVERE- BLUEBIKES EXPANSION TO NORTHERN STRAND (SALEM STREET AT NORTH MARSHALL STREET) AND GRISWOLD PARK,63.5,CC,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$169,000","$169,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$169,000 ","$169,000 "
S12967,Scituate,SCITUATE- INSTALLATION OF 25 BICYCLE RACKS,45.5,CC,SSC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,$0,"$22,800",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$22,800 ","$22,800 "
S12983,Sherborn,SHERBORN- RECONSTRUCTION OF ROUTE 27 AND ROUTE 16 [DESIGN ONLY],81.8,II,SWAP,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$900,000","$900,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$900,000 ","$900,000 "
S12962,Somerville,"SOMERVILLE- BLUEBIKES STATE OF GOOD REPAIR, 13 STATIONS",67.5,CC,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,$0,"$278,127",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$278,127 ","$278,127 "
608051,MassDOT,"WILMINGTON- RECONSTRUCTION ON ROUTE 38 (MAIN STREET), FROM ROUTE 62 TO THE WOBURN CITY LINE",59,CS,NSPC,"2023
(FFYs 2020–24)",2025,2025,100% Received (1/19/2024),100%,1/19/2024,1.09,"$37,452,645","$37,452,645",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$37,452,645 ","$37,452,645 "
S12969,CATA,CATA- GLOUCESTER FACILITY MODERNIZATION,TBD,TT,NSTF,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$1,293,000","$1,605,500",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$1,293,000 ","$1,605,500 "
S13202,CATA,CATA- AUTOMATIC PASSENGER COUNTING AND AUTOMATIC VEHICLE LOCATION DEPLOYMENT (TRANSIT PROJECT ID CATA011695),36.2,TT,NSTF,N/A,N/A,2025,N/A,N/A,N/A,N/A,$0,"$680,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,$0 ,"$680,000 "
S13153,MBTA,MBTA- BUS PRIORITY AND ACCESSIBILITY IMPROVEMENTS ,48,TT,"ICC, SSC",N/A,N/A,2025-26,N/A,N/A,N/A,N/A,$0,"$1,000,000",$0,"$6,000,000",$0,$0,$0,$0,$0,$0,$0,$0,"$6,000,000 ",$0 ,"$1,000,000 "
S13206,MBTA,MBTA- CATAMARAN OVERHAUL,25,TT,"ICC, NSTF, SSC","2024
(FFYs 2024–28)
Transit Program",N/A,2025,N/A,N/A,N/A,N/A,$0,"$2,634,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,$0 ,"$2,634,000 "
S13207,MBTA,MBTA- NATICK CENTER STATION ACCESSIBILITY IMPROVEMENTS,62,TT,MWRC,N/A,N/A,2025,Construction,Construction,N/A,N/A,$0,"$2,500,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,$0 ,"$2,500,000 "
S13208,MBTA,MBTA- WELLESLEY SQUARE STATION UPGRADES,50,TT,MWRC,N/A,N/A,2025,N/A,N/A,N/A,N/A,$0,"$5,000,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,$0 ,"$6,000,000 "
S12972,MWRTA,MWRTA- PROCUREMENT OF NINE 29 FOOT BUSES (CNG),52.2,TT,MWRC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$1,980,000","$6,180,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$2,376,000 ","$6,576,000 "
S12970,CATA,"CATA - VEHICLE REPLACEMENT (7 VEHICLES), INCLUDING TRANSIT PROJECT ID RTD0010591",TBD,TT,NSTF,"2025-26
(FFYs 2025–29)",2025-26,2025-26,N/A,N/A,N/A,N/A,"$1,710,000","$3,510,000","$750,000","$750,000",$0,$0,$0,$0,$0,$0,$0,$0,"$750,000 ","$2,460,000 ","$4,260,000 "
S12971,MWRTA,MWRTA- BLANDIN HUB ACCESSIBLE REDESIGN,64,TT,MWRC,"2025-26
(FFYs 2025–29)",2025-26,2025-26,N/A,N/A,N/A,N/A,"$1,750,000","$7,750,000","$750,000","$750,000",$0,$0,$0,$0,$0,$0,$0,$0,"$750,000 ","$2,500,000 ","$15,000,000 "
S12963,"Chelsea, Revere",CHELSEA-REVERE- REGIONAL ON DEMAND MICROTRANSIT PILOT PROJECT,53.75,CC,ICC,"2025
(FFYs 2025–29)",2025-27,2025-27,N/A,N/A,N/A,N/A,"$499,649","$499,649","$450,278","$450,278","$463,807","$463,807",$0,$0,$0,$0,$0,$0,"$914,085 ","$1,413,734","$1,413,375 "
611982,Medford,MEDFORD- SHARED USE PATH CONNECTION AT THE ROUTE 28/WELLINGTON UNDERPASS,N/A,BP,ICC,"2025
(FFYs 2025–29)",2025,2026,100% Received (10/31/2024),100%,10/31/2024,0.38,"$6,061,917",$0,$0,"$5,488,945",$0,$0,$0,$0,$0,$0,$0,$0,"$5,488,945 ","$606,917 ","$5,488,945 "
610544,Peabody,PEABODY- MULTI-USE PATH CONSTRUCTION OF INDEPENDENCE GREENWAY AT I-95 AND ROUTE 1,53,BP,NSTF,"2025
(FFYs 2021–25)",2025,2026,75% Received (9/12/2024),75%,9/12/2024,0.52,"$13,966,099",$0,$0,"$19,127,610",$0,$0,$0,$0,$0,$0,$0,$0,"$19,127,610 ","$13,966,099 ","$22,091,033 "
608067,MassDOT,WOBURN- INTERSECTION RECONSTRUCTION AT ROUTE 3 (CAMBRIDGE ROAD) AND BEDFORD ROAD AND SOUTH BEDFORD STREET,52,II,NSPC,"2025
(FFYs 2021–25)",2025,2026,75% Received (3/19/2025),75%,3/19/2025,0.00,"$3,438,311",$0,$0,"$4,883,750",$0,$0,$0,$0,$0,$0,$0,$0,"$4,883,750 ","$1,978,080 ","$3,438,311 "
609204,Belmont,"BELMONT- COMMUNITY PATH, BELMONT COMPONENT OF THE MCRT (PHASE I)",64.6,BP,ICC,"2026 
(FFYs 2023–27)",2026-27,2026,75% Rejected (3/6/2025),75%,3/6/2025,0.04,$0,$0,"$8,000,000","$27,306,266","$12,499,750",$0,$0,$0,$0,$0,$0,$0,"$27,306,266 ","$20,499,750 ","$19,711,298 "
606453,Boston,"BOSTON- IMPROVEMENTS ON BOYLSTON STREET, FROM INTERSECTION OF BROOKLINE AVENUE AND PARK DRIVE TO IPSWICH STREET",58,CS,ICC,"2019
(FFYs 2016–20)",2026,2026,25% Received - Resubmission 1 (1/29/2021),25%,1/29/2021,4.14,$0,$0,"$8,665,052","$10,185,935",$0,$0,$0,$0,$0,$0,$0,$0,"$10,185,935 ","$8,665,052 ","$15,000,000 "
S13147,Framingham,FRAMINGHAM- PRELIMINARY DESIGN OF INTERSECTION IMPROVEMENTS AT ROUTE 126/135/MBTA AND CSX RAILROAD,TBD,MI,MWRC,"2026
(FFYs 2025–29)",2026,2026,N/A,N/A,N/A,N/A,$0,$0,"$1,400,000","$1,400,000",$0,$0,$0,$0,$0,$0,$0,$0,"$1,400,000 ","$1,400,000 ","$1,400,000 "
605168,Hingham,HINGHAM- IMPROVEMENTS ON ROUTE 3A FROM OTIS STREET/COLE ROAD  INCLUDING SUMMER STREET AND ROTARY; ROCKLAND STREET TO GEORGE WASHINGTON BOULEVARD,55,CS,SSC,"2024
(FFYs 2020–24)",2026,2026-27,75% Comments to DE (4/29/2024),75%,4/29/2024,0.89,$0,$0,"$28,738,432","$21,949,531",$0,"$10,000,000",$0,$0,$0,$0,$0,$0,"$31,949,531 ","$28,738,432 ","$31,949,531 "
S13146,Lexington,LEXINGTON- DESIGN OF SAFETY IMPROVEMENTS AT THE INTERSTATE 95 AND ROUTE 4/225 INTERCHANGE,TBD,MI,MAGIC,"2026
(FFYs 2025–29)",2026,2026,N/A,N/A,N/A,N/A,$0,$0,"$1,650,000","$1,650,000",$0,$0,$0,$0,$0,$0,$0,$0,"$1,650,000 ","$1,650,000 ","$1,650,000 "
608940,Weston,WESTON- INTERSECTION IMPROVEMENTS BOSTON POST ROAD (ROUTE 20) AT WELLESLEY STREET ,50.6,II,MWRC,"2026 
(FFYs 2023–27)",2026,2026,100% Received (12/13/2024),100%,12/13/2024,0.27,$0,$0,"$3,237,804","$3,966,586",$0,$0,$0,$0,$0,$0,$0,$0,"$3,966,586 ","$3,237,804 ","$4,125,249 "
S13293,Acton,"ACTON- RECONSTRUCTION OF ROUTE 2A/119 (GREAT ROAD), FROM DAVIS ROAD TO HARRIS STREET (DESIGN ONLY)",41.35,CS,MAGIC,"2026
(FFYs 2026–30)",N/A,2026,PRC Approved (10/02/2024),PRC,10/02/2024,0.46,$0,$0,$0,"$860,000",$0,$0,$0,$0,$0,$0,$0,$0,"$860,000 ",$0 ,"$860,000 "
S13180,Boston,"BOSTON- BLUEBIKES STATION REPLACEMENT, 20 STATIONS",70.5,CC,ICC,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$783,860",$0,$0,$0,$0,$0,$0,$0,$0,"$783,860 ",$0 ,"$783,860 "
S13179,Brookline,"BROOKLINE- BLUEBIKES EXPANSION, 3 STATIONS, 20 EBIKES",67.5,CC,ICC,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$238,646",$0,$0,$0,$0,$0,$0,$0,$0,"$238,646 ",$0 ,"$238,646 "
S13182,Cambridge,"CAMBRIDGE- BLUEBIKES STATION REPLACEMENT, 7 STATIONS",65.5,CC,ICC,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$223,715",$0,$0,$0,$0,$0,$0,$0,$0,"$223,715 ",$0 ,"$223,715 "
S13295,Cambridge,CAMBRIDGE- NEW BRIDGE AND SHARED-USE PATH CONSTRUCTION OVER FITCHBURG LINE AT DANEHY PARK [DESIGN ONLY],78.1,BP,ICC,"2025
(FFYs 2025–29)
Earmark Discretionary",2025,2026,PRC-Approved (5/31/2024),PRC,5/31/2024,0.80,"$1,197,772",$0,$0,"$2,000,000",$0,$0,$0,$0,$0,$0,$0,$0,"$2,000,000 ",$0 ,"$2,000,000 "
S13194,Chelsea,"CHELSEA- BLUEBIKES EXPANSION, 3 STATIONS, 28 CLASSIC BIKES, 5 EBIKES",66,CC,ICC,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$107,785",$0,$0,$0,$0,$0,$0,$0,$0,"$107,785 ",$0 ,"$107,785 "
S13291,CTPS,CTPS- PROCUREMENT AND INSTALLATION OF SIX AIR QUALITY SENSORS FOR GHG MONITORING (PERFORMANCE-BASED PLANNING PROGRAM),N/A,REGIONWIDE,REGIONWIDE,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$43,000",$0,$0,$0,$0,$0,$0,$0,$0,"$43,000 ",$0 ,"$43,000 "
S13048,Hudson,"HUDSON- BIKE PATH CONSTRUCTION OF MASS CENTRAL RAIL TRAIL, FROM FELTON STREET TO PRIEST STREET (DESIGN ONLY)",68.4,BP,MAGIC,"2026
(FFYs 2026–30)",N/A,2026,PRC Approved (12/12/2024),PRC,12/12/2024,0.27,$0,$0,$0,"$909,700",$0,$0,$0,$0,$0,$0,$0,$0,"$909,700 ",$0 ,"$909,700 "
613163,Lynnfield,"LYNNFIELD- RAIL TRAIL CONSTRUCTION, FROM FORD AVENUE TO NICHOLS LANE (PHASE 1)",TBD,BP,NSPC,"2029
(FFYs 2025–29)
Statewide Highway",2029,2026,"100% Submitted
(2/6/2025)",100%,2/6/2025,0.12,$0,$0,$0,"$5,829,514",$0,$0,$0,$0,$0,$0,$0,$0,"$5,829,514 ","$38,491,410 ","$5,829,514 "
S13294,Malden,"MALDEN- DESIGN OF IMPROVEMENTS ON ROUTE 60 (PHASE 1 AND 2), FRANKLIN STREET TO LYNN STREET",69,CS,ICC,"2026
(FFYs 2026–30)",N/A,2026,PRC Approved (10/02/2024),PRC,10/02/2024,0.46,$0,$0,$0,"$800,000",$0,$0,$0,$0,$0,$0,$0,$0,"$800,000 ",$0 ,"$800,000 "
S13184,Marblehead,MARBLEHEAD- INSTALLATION OF 22 BIKE RACKS,61,CC,NSTF,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$6,250",$0,$0,$0,$0,$0,$0,$0,$0,"$6,250 ",$0 ,"$6,250 "
S13152,MBTA,MBTA- BETTER BUS PROJECT - OPERATIONAL SAFETY IMPROVEMENTS AT BUS STOPS,44.6,TT,REGIONWIDE,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$3,216,897",$0,$0,$0,$0,$0,$0,$0,$0,"$3,216,897 ",$0 ,"$3,216,897 "
S13292,MBTA,MBTA - OPERATIONAL ENHANCEMENT OF BUS ROUTES 714 AND 716,N/A,TT,"ICC, SSC, TRIC",2026-,N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$1,875,000",$0,$0,$0,$0,$0,$0,$0,$0,"$1,875,000 ",$0 ,"$1,875,000 "
S13183,Newton,"NEWTON- INSTALLATION OF 67 BIKE RACKS, 2 SHELTERS, 12 RRFBs",64,CC,ICC,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$473,132",$0,$0,$0,$0,$0,$0,$0,$0,"$473,132 ",$0 ,"$473,132 "
S13129,Salem,SALEM- BROAD STREET AND DALTON PARKWAY CORRIDOR PROJECT (DESIGN ONLY),64.2,CS,NSTF,"2026
(FFYs 2026–30)",N/A,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$1,068,780",$0,$0,$0,$0,$0,$0,$0,$0,"$1,068,780 ",$0 ,"$1,068,780 "
S13181,Somerville,"SOMERVILLE- BLUEBIKES STATION REPLACEMENT, 5 STATIONS",67.5,CC,NSPC,"2029
(FFYs 2025–29)
Statewide Highway",2029,2026,N/A,N/A,N/A,N/A,$0,$0,$0,"$107,417",$0,$0,$0,$0,$0,$0,$0,$0,"$107,417 ","$38,491,410 ","$6,620,400 "
609252,Lynn,LYNN- REHABILITATION OF ESSEX STREET,66,CS,ICC,"2024
(FFYs 2020–24)",2026-27,2028,PRC Approved (12/6/2018),PRC,12/6/2018,6.29,$0,$0,"$10,000,000",$0,"$9,698,640",$0,$0,"$13,567,554",$0,"$10,000,000",$0,$0,"$23,567,554 ","$19,698,640 ","$23,567,554 "
608045,MassDOT,"MILFORD- REHABILITATION ON ROUTE 16, FROM ROUTE 109 TO BEAVER STREET",43,CS,SWAP,"2024
(FFYs 2020–24)",2026,2027,25% Received - Resubmission 2 (10/13/2023),25%,10/13/2023,1.44,$0,$0,"$13,548,565",$0,$0,"$13,548,565",$0,$0,$0,$0,$0,$0,"$13,548,565 ","$9,758,201 ","$13,548,565 "
605857,MassDOT,NORWOOD- INTERSECTION IMPROVEMENTS AT ROUTE 1 AND UNIVERSITY AVENUE/EVERETT STREET ,55,MI,TRIC,"2021
(FFYs 2017–21)",2026-27,2027,25% Received - Resubmission 1 (1/5/2021),25%,1/5/2021,4.21,$0,$0,"$27,636,336",$0,$0,"$27,636,336",$0,$0,$0,$0,$0,$0,"$27,636,336 ","$28,699,272 ","$27,636,336 "
610823,Quincy,QUINCY- INTERSECTION IMPROVEMENTS AT WILLARD STREET AND RICCIUTI DRIVE,41.1,II,ICC,"2026
(FFYs 2025–29)",2026,2027,75% Received - Resubmission 1 (6/12/2024),75%,6/12/2024,0.77,$0,$0,"$1,885,353",$0,$0,"$3,700,546",$0,$0,$0,$0,$0,$0,"$3,700,546 ","$1,885,353 ","$3,700,546 "
609532,MassDOT,"CHELSEA- TARGETED SAFETY IMPROVEMENTS AND RELATED WORK ON BROADWAY, FROM WILLIAMS STREET TO CITY HALL AVENUE",83,II,ICC,"2026
(FFYs 2024–28)",2026,Removed,75% Comments to DE (4/1/2024),75%,4/1/2024,0.97,$0,$0,"$9,807,515",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$9,807,515 ","$9,430,303 "
612989,Boston,"BOSTON- BRIDGE PRESERVATION, B-16-066 (38D), CAMBRIDGE STREET OVER MBTA",53.2,CS,ICC,"2026
(FFYs 2024–28)",2027,2027,PRC Approved (12/21/2022),PRC,12/21/2022,2.25,$0,$0,$0,$0,"$16,632,000","$16,531,736",$0,$0,$0,$0,$0,$0,"$16,531,736 ","$16,632,000 ","$16,531,736 "
609257,Everett,EVERETT- RECONSTRUCTION OF BEACHAM STREET,54,CS,ICC,"2024
(FFYs 2020–24)",2027,2027,25% Comments to DE (5/8/2024),25%,5/8/2024,0.87,$0,$0,$0,$0,"$12,539,448","$12,075,024",$0,$0,$0,$0,$0,$0,"$12,075,024 ","$12,539,448 ","$12,075,024 "
609437,Salem,SALEM- PEABODY- BOSTON STREET IMPROVEMENTS,68,CS,NSTF,"2026
(FFYs 2023–27)",2027,2027,75% Received (1/17/2024),75%,1/17/2024,1.17,$0,$0,$0,$0,"$26,122,722","$25,155,213",$0,$0,$0,$0,$0,$0,"$25,155,213 ","$26,122,722 ","$26,122,722 "
605743,Ipswich,IPSWICH- RESURFACING AND RELATED WORK ON CENTRAL AND SOUTH MAIN STREETS,47,CS,NSTF,"2023
(FFYs 2019–23)",2027-28,2027-28,25% Received (7/12/2024),25%,7/12/2024,0.69,$0,$0,$0,$0,"$6,000,000","$6,000,000","$5,728,698","$9,035,254",$0,$0,$0,$0,"$15,035,254 ","$11,728,698 ","$15,035,254 "
607981,MassDOT,SOMERVILLE- MCGRATH BOULEVARD CONSTRUCTION,72.2,MI,ICC,"2027
(FFYs 2023–27)",2027-31,2027-31,25% Received (10/21/2024),25%,10/21/2024,0.41,$0,$0,$0,$0,"$30,000,000","$30,000,000","$30,000,000","$33,075,573","$30,310,000","$30,310,000","$35,000,000",$0,"$128,385,573 ","$95,310,000 ","$128,385,573 "
608954,Weston,WESTON- RECONSTRUCTION ON ROUTE 30,49.2,CS,MWRC,"2026
(FFYs 2023–27)",2027,2028,25% Design Public Hearing (9/22/2022),25%,9/22/2022,2.49,$0,$0,$0,$0,"$19,999,712",$0,$0,"$19,999,712",$0,$0,$0,$0,"$19,999,712 ","$19,999,712 ","$19,999,712 "
608436,Ashland,ASHLAND- REHABILITATION AND RAIL CROSSING IMPROVEMENTS ON CHERRY STREET,38,CS,MWRC,"2024
(FFYs 2020–24)",2028,2028,25% Comments to DE (8/19/2020),25%,8/19/2020,4.59,$0,$0,$0,$0,$0,$0,"$1,316,340","$1,269,327",$0,$0,$0,$0,"$1,269,327 ","$1,222,315 ","$1,269,327 "
610932,Brookline,BROOKLINE- REHABILITATION OF WASHINGTON STREET,62.4,CS,ICC,"2027
(FFYs 2023–27)",2028,2028,PRC Approved (9/24/2020),PRC,9/24/2020,4.49,$0,$0,$0,$0,$0,$0,"$10,000,000","$15,040,279","$18,995,267","$12,919,442",$0,$0,"$27,959,721 ","$28,995,267 ","$27,959,721 "
610691,Natick,NATICK- COCHITUATE RAIL TRAIL EXTENSION (MBTA STATION TO MECHANIC STREET) - NATICK CENTER CONNECTION,67,BP,MWRC,"2028
(FFYs 2024–28)",2028,2028,"25% Received - Resubmission 1
(9/4/2024)",25%,9/4/2024,0.54,$0,$0,$0,$0,$0,$0,"$7,492,849","$11,085,739",$0,$0,$0,$0,"$11,085,739 ","$7,760,451 ","$11,496,322 "
610545,Wakefield,WAKEFIELD- MAIN STREET RECONSTRUCTION,61.8,CS,NSPC,"2028
(FFYs 2024–28)",2028,2028,PRC Approved (12/19/2019),PRC,12/19/2019,5.25,$0,$0,$0,$0,$0,$0,"$18,435,976","$28,492,560",$0,$0,$0,$0,"$28,492,560 ","$16,581,200 ","$18,435,976 "
608158,Westwood,WESTWOOD- NORWOOD- RECONSTRUCTION OF CANTON STREET TO UNIVERSITY DRIVE,53.3,CS,TRIC,"FFY 2028
(FFYs 2024–28)",2028-29,2028-29,25% Design Public Hearing (9/28/2023),25%,9/28/2023,1.48,$0,$0,$0,$0,$0,$0,"$12,854,847","$12,038,602","$10,000,000","$10,000,000",$0,$0,"$22,038,602 ","$22,854,847 ","$22,854,847 "
